index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
11,Calle de Jesús,1,es,,flat,Gràcia,True,G3253,1,False,False,True,False,True,41.3975855,2.1588172,Barcelona,Vila de Gràcia,False,,26,sale,,,,290000.0,3867.0,88112386,flat,Barcelona,3,False,75.0,good,"Vila de Gràcia, Barcelona",Piso en Calle de Jesús,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/5f/9f/738896399.jpg,https://www.idealista.com/inmueble/88112386/
12,Calle del Baró d'Esponellà,1,es,,flat,Nou Barris,True,baroesponella199,1,False,False,True,False,True,41.4272494,2.1742312,Barcelona,Vilapicina i la Torre Llobeta,False,,17,sale,,,,189000.0,2520.0,88111279,flat,Barcelona,3,False,75.0,renew,"Vilapicina i la Torre Llobeta, Barcelona",Piso en Calle del Baró d'Esponellà,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e2/32/c1/738870390.jpg,https://www.idealista.com/inmueble/88111279/
13,"Paseo de Gracia, 23",3,es,duplex,flat,Eixample,True,,1,False,False,True,True,True,41.3904269,2.1665326,Barcelona,La Dreta de l'Eixample,False,,37,sale,,,,1340000.0,9571.0,88107616,duplex,Barcelona,3,True,140.0,good,"La Dreta de l'Eixample, Barcelona","Dúplex en Paseo de Gracia, 23",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/aa/d1/738789910.jpg,https://www.idealista.com/inmueble/88107616/
14,Paseo d'Amunt,2,es,,flat,Gràcia,True,,4,False,False,True,False,False,41.4124387,2.1615864,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,30,sale,,,,435000.0,3625.0,88110526,flat,Barcelona,4,False,120.0,good,"El Camp d'En Grassot i Gràcia Nova, Barcelona",Piso en Paseo d'Amunt,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/51/31/738853717.jpg,https://www.idealista.com/inmueble/88110526/
15,barrio La Verneda i la Pau,1,es,,flat,Sant Martí,False,W-02HFU9,7,False,False,True,True,False,41.4236654,2.2001174,Barcelona,La Verneda i la Pau,False,,28,sale,,,,292000.0,3605.0,88110008,flat,Barcelona,4,False,81.0,good,"La Verneda i la Pau, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/25/c9/756001694.jpg,https://www.idealista.com/inmueble/88110008/
16,barrio La Dreta de l'Eixample,2,es,,flat,Eixample,False,W-02HNAO,2,False,True,True,True,False,41.3977556,2.1732213,Barcelona,La Dreta de l'Eixample,False,,37,sale,,,,776000.0,4311.0,88110006,flat,Barcelona,5,False,180.0,good,"La Dreta de l'Eixample, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/f2/c3/756034218.jpg,https://www.idealista.com/inmueble/88110006/
17,Federico garcia lorca,1,es,,flat,Sant Martí,True,Fede,3,False,False,True,False,False,41.4201264,2.2115686,Barcelona,El Besòs,False,,18,sale,,,,160000.0,2424.0,88109456,flat,Barcelona,3,False,66.0,good,"El Besòs, Barcelona",Piso en Federico garcia lorca,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/4b/db/738829520.jpg,https://www.idealista.com/inmueble/88109456/
18,Calle de N'Aglà,1,es,studio,flat,Ciutat Vella,False,145A6GNA-BB,bj,False,False,,False,False,41.3815645,2.1766183,Barcelona,El Gòtic,False,,8,sale,,,,159000.0,2607.0,88109487,studio,Barcelona,0,False,61.0,good,"El Gòtic, Barcelona",Estudio en Calle de N'Aglà,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/9d/5d/758910705.jpg,https://www.idealista.com/inmueble/88109487/
19,Balmes,2,es,,flat,Sarrià-Sant Gervasi,True,0013-00880,2,False,False,True,True,False,41.4069881,2.1420178,Barcelona,El Putxet i el Farró,False,,33,sale,True,True,,810000.0,3733.0,88109448,flat,Barcelona,4,False,217.0,good,"El Putxet i el Farró, Barcelona",Piso en Balmes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/f3/60/738829222.jpg,https://www.idealista.com/inmueble/88109448/
20,barrio Diagonal Mar i el Front Marítim del Poblenou,2,es,,flat,Sant Martí,True,007322,4,False,False,True,False,False,41.4060566,2.2165291,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,18,sale,True,True,,1450000.0,9539.0,88108610,flat,Barcelona,3,False,152.0,good,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/2b/d1/738810315.jpg,https://www.idealista.com/inmueble/88108610/
21,barrio Diagonal Mar i el Front Marítim del Poblenou,3,es,,flat,Sant Martí,True,007321,19,False,False,True,False,False,41.4057566,2.2154291,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,33,sale,True,True,,1950000.0,15000.0,88108606,flat,Barcelona,4,False,130.0,good,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/66/b7/738810229.jpg,https://www.idealista.com/inmueble/88108606/
22,"Calle Ciudad de Granada, 163",2,es,,flat,Sant Martí,True,,4,False,False,True,False,False,41.4037766,2.1907878,Barcelona,El Parc i la Llacuna del Poblenou,False,,16,sale,True,True,,450000.0,5625.0,88108329,flat,Barcelona,2,True,80.0,good,"El Parc i la Llacuna del Poblenou, Barcelona","Piso en Calle Ciudad de Granada, 163",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/be/b0/738805769.jpg,https://www.idealista.com/inmueble/88108329/
23,Calle de Felipe de Paz,1,es,studio,flat,Les Corts,True,404-API-242,bj,False,False,False,False,False,41.380558,2.125428,Barcelona,La Maternitat i Sant Ramon,False,,15,sale,,,,109000.0,4192.0,88107782,studio,Barcelona,0,False,26.0,renew,"La Maternitat i Sant Ramon, Barcelona",Estudio en Calle de Felipe de Paz,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/97/d4/753416354.jpg,https://www.idealista.com/inmueble/88107782/
24,barrio Sant Gervasi - Galvany,2,es,,flat,Sarrià-Sant Gervasi,True,VB1912036,2,False,False,True,True,True,41.4005142,2.137979,Barcelona,Sant Gervasi - Galvany,False,,17,sale,,,,680000.0,6538.0,88107607,flat,Barcelona,3,False,104.0,good,"Sant Gervasi - Galvany, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/18/ea/761796315.jpg,https://www.idealista.com/inmueble/88107607/
25,Paseo del Taulat,1,es,duplex,flat,Sant Martí,True,002128,bj,False,False,True,True,False,41.4015894,2.2080306,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,15,sale,True,True,,350000.0,4217.0,88094772,duplex,Barcelona,1,False,83.0,good,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Dúplex en Paseo del Taulat,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/52/88/738464214.jpg,https://www.idealista.com/inmueble/88094772/
26,Jesus,1,es,,flat,Gràcia,True,,1,False,False,True,False,False,41.4000855,2.1587172,Barcelona,Vila de Gràcia,False,,21,sale,,,,290000.0,3867.0,81470705,flat,Barcelona,3,False,75.0,good,"Vila de Gràcia, Barcelona",Piso en Jesus,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/0b/6f/577546868.jpg,https://www.idealista.com/inmueble/81470705/
27,Calle de Jaume Giralt,1,es,penthouse,flat,Ciutat Vella,True,AP_GIR,4,False,False,True,False,False,41.3886983,2.1806103,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,20,sale,,,,275000.0,4911.0,88106814,penthouse,Barcelona,2,False,56.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Ático en Calle de Jaume Giralt,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/eb/6e/0b/738776024.jpg,https://www.idealista.com/inmueble/88106814/
28,Calle de la Diputació,3,es,,flat,Eixample,True,VB1912035,6,False,False,True,True,False,41.3943493,2.1749401,Barcelona,La Dreta de l'Eixample,False,,33,sale,True,False,20000.0,890000.0,6138.0,88106785,flat,Barcelona,4,False,145.0,good,"La Dreta de l'Eixample, Barcelona",Piso en Calle de la Diputació,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/54/cf/761796379.jpg,https://www.idealista.com/inmueble/88106785/
29,"Calle camil oliveras 31,",2,es,,flat,Horta Guinardó,True,P-40524,bj,False,False,True,True,True,41.4233494,2.1722205,Barcelona,El Guinardó,False,,43,sale,True,False,45000.0,665000.0,5195.0,88106030,flat,Barcelona,4,False,128.0,good,"El Guinardó, Barcelona","Piso en Calle camil oliveras 31,",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/5e/ab/738756729.jpg,https://www.idealista.com/inmueble/88106030/
30,Jesus,1,es,,flat,Gràcia,True,Gracia-1,1,False,False,True,False,False,41.3973855,2.1574172,Barcelona,Vila de Gràcia,False,,26,sale,,,,290000.0,3867.0,81316278,flat,Barcelona,3,False,75.0,good,"Vila de Gràcia, Barcelona",Piso en Jesus,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/e1/95/738775711.jpg,https://www.idealista.com/inmueble/81316278/
31,Plaza de Jaume Huguet,1,es,,flat,Sant Martí,True,,6,False,False,True,False,False,41.4184369,2.2131729,Barcelona,El Besòs,False,,22,sale,,,,198000.0,3300.0,88106295,flat,Barcelona,3,False,60.0,good,"El Besòs, Barcelona",Piso en Plaza de Jaume Huguet,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/e8/85/738760468.jpg,https://www.idealista.com/inmueble/88106295/
