index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
25,Plaza de Fernando de los Ríos,1,es,,flat,Sant Martí,True,VPLZELE,8,False,False,True,True,True,41.4248276,2.2107314,Barcelona,La Verneda i la Pau,False,,27,sale,,,,180000.0,2250.0,88686915,flat,Barcelona,3,False,80.0,renew,"La Verneda i la Pau, Barcelona",Piso en Plaza de Fernando de los Ríos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/7e/f6/752710281.jpg,https://www.idealista.com/inmueble/88686915/
26,Via Favència,1,es,,flat,Nou Barris,True,VIA FAVENCIA,1,False,False,True,False,False,41.4437519,2.1696189,Barcelona,La Guineueta,False,,15,sale,,,,206000.0,2424.0,88687886,flat,Barcelona,3,False,85.0,good,"La Guineueta, Barcelona",Piso en Via Favència,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/18/f9/752730297.jpg,https://www.idealista.com/inmueble/88687886/
27,barrio Sants - Badal,2,es,duplex,flat,Sants-Montjuïc,True,1507,bj,False,False,True,False,False,41.3737531,2.1318019,Barcelona,Sants - Badal,False,,23,sale,,,,280000.0,3636.0,88687958,duplex,Barcelona,2,False,77.0,good,"Sants - Badal, Barcelona",Dúplex,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/3b/04/752730832.jpg,https://www.idealista.com/inmueble/88687958/
28,Calle de los Castillejos,2,es,,flat,Eixample,True,1155,3,False,False,True,False,True,41.4078118,2.1772572,Barcelona,La Sagrada Família,False,,19,sale,,,,429000.0,3796.0,88686588,flat,Barcelona,4,False,113.0,good,"La Sagrada Família, Barcelona",Piso en Calle de los Castillejos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/32/29/752703186.jpg,https://www.idealista.com/inmueble/88686588/
29,Calle del Consell de Cent,1,es,,flat,Eixample,True,DUX0041,1,False,False,True,False,False,41.3861578,2.1631219,Barcelona,L'Antiga Esquerra de l'Eixample,False,,21,sale,,,,575000.0,4356.0,88687929,flat,Barcelona,3,False,132.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Piso en Calle del Consell de Cent,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/75/b7/752730378.jpg,https://www.idealista.com/inmueble/88687929/
30,Calle d'Arenys,2,es,,flat,Horta Guinardó,True,FV004,1,False,False,True,True,False,41.4217205,2.1449304,Barcelona,La Teixonera,False,,24,sale,,,,208000.0,2633.0,88687819,flat,Barcelona,4,False,79.0,good,"La Teixonera, Barcelona",Piso en Calle d'Arenys,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/7e/28/752728449.jpg,https://www.idealista.com/inmueble/88687819/
31,Calle d'En Fontrodona s/n,2,es,,flat,Sants-Montjuïc,False,AK00203,3,False,False,True,True,False,41.3732116,2.1670582,Barcelona,El Poble Sec - Parc de Montjuïc,False,,24,sale,,,,435000.0,4943.0,88687848,flat,Barcelona,2,True,88.0,good,"El Poble Sec - Parc de Montjuïc, Barcelona",Piso en Calle d'En Fontrodona s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/69/73/752728568.jpg,https://www.idealista.com/inmueble/88687848/
32,Calle del Planeta,1,es,,flat,Gràcia,True,jb 526,1,False,False,True,True,False,41.4032091,2.1542011,Barcelona,Vila de Gràcia,False,,17,sale,,,,360000.0,5143.0,88687749,flat,Barcelona,2,False,70.0,good,"Vila de Gràcia, Barcelona",Piso en Calle del Planeta,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/23/5e/752726807.jpg,https://www.idealista.com/inmueble/88687749/
33,Calle del Passarell,1,es,,flat,Horta Guinardó,True,Passarell Venta,2,False,False,True,True,False,41.4208877,2.1596602,Barcelona,El Carmel,False,,20,sale,,,,249000.0,2621.0,88687712,flat,Barcelona,3,False,95.0,good,"El Carmel, Barcelona",Piso en Calle del Passarell,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/1e/0d/752725844.jpg,https://www.idealista.com/inmueble/88687712/
34,Calle sant antoni s/n,1,es,,flat,Ciutat Vella,False,stanto145,2,False,False,False,True,True,41.3819733,2.1635818,Barcelona,El Raval,False,,15,sale,,,,130000.0,4333.0,88687635,flat,Barcelona,1,True,30.0,good,"El Raval, Barcelona",Piso en Calle sant antoni s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ec/1b/cf/752725857.jpg,https://www.idealista.com/inmueble/88687635/
